comparison_id,llm_estimate_aud,reason
C01,310000,Studio with limited accommodation and unknown parking
C02,810000,Two-bedroom townhouse with one bathroom and parking
C03,450000,Typical two-bedroom Blacktown apartment
C04,1150000,Three-bedroom house with two bathrooms and three parking spaces
C05,1750000,Seven bedrooms and four bathrooms suggest a much larger dwelling
C06,520000,Two-bedroom apartment with a second bathroom
C07,4800000,Four-bedroom three-bathroom Mosman house
C08,4700000,Similar Mosman house with one parking space
C09,5100000,Five-bedroom Mosman house with only two bathrooms
C10,4800000,Same main accommodation as C07 and a nearby sale period
